2018-06-26 00:05:58.6839 | INFO | Eshop.MvcApplication | Application Init | 
2018-06-26 00:05:58.7396 | INFO | Eshop.MvcApplication | Application Init | 
2018-06-26 00:06:27.8559 | INFO | Eshop.Controllers.HomeController | Try to apply filters | 
2018-06-26 00:06:27.9643 | INFO | Eshop.Controllers.HomeController | Sort goods success | 
2018-06-26 00:06:27.9741 | INFO | Eshop.Controllers.HomeController | Filters applied successfully | 
2018-06-26 00:06:28.0757 | INFO | Eshop.MvcApplication | Application Init | 
2018-06-26 00:06:59.3258 | INFO | Eshop.Controllers.HomeController | Get goods from category: All | 
2018-06-26 00:07:00.0133 | INFO | Eshop.Controllers.HomeController | Try to apply filters | 
2018-06-26 00:07:00.0621 | INFO | Eshop.Controllers.HomeController | Sort goods success | 
2018-06-26 00:07:00.0621 | INFO | Eshop.Controllers.HomeController | Filters applied successfully | 
2018-06-26 00:07:08.4137 | INFO | Eshop.Controllers.HomeController | Try to apply filters | 
2018-06-26 00:07:08.4518 | INFO | Eshop.Controllers.HomeController | Sort goods success | 
2018-06-26 00:07:08.4616 | INFO | Eshop.Controllers.HomeController | Filters applied successfully | 
2018-06-26 00:07:46.6229 | INFO | Eshop.MvcApplication | Application Dispose | 
2018-06-26 00:08:54.8859 | INFO | Eshop.MvcApplication | Application Start | 
2018-06-26 00:08:54.9816 | INFO | Eshop.MvcApplication | Application Init | 
2018-06-26 00:08:55.0285 | INFO | Eshop.MvcApplication | Application Init | 
2018-06-26 00:08:59.0432 | INFO | Eshop.Controllers.HomeController | Get goods from category: All | 
2018-06-26 00:09:01.2629 | INFO | Eshop.Controllers.HomeController | Try to apply filters | 
2018-06-26 00:09:01.3938 | INFO | Eshop.Controllers.HomeController | Sort goods success | 
2018-06-26 00:09:01.3938 | INFO | Eshop.Controllers.HomeController | Filters applied successfully | 
2018-06-26 00:09:01.4807 | INFO | Eshop.MvcApplication | Application Init | 
2018-06-26 00:09:01.4807 | INFO | Eshop.MvcApplication | Application Init | 
2018-06-26 00:09:01.5051 | INFO | Eshop.MvcApplication | Application Init | 
2018-06-26 00:09:26.4037 | INFO | Eshop.Controllers.HomeController | Get goods from category: All | 
