2018-06-25 12:35:34.0642 | INFO | Eshop.MvcApplication | Application Dispose | 
2018-06-25 12:36:04.0682 | INFO | Eshop.MvcApplication | Application Dispose | 
2018-06-25 12:36:07.6356 | INFO | Eshop.Controllers.HomeController | Costructor | 
2018-06-25 12:36:08.1141 | INFO | Eshop.Controllers.HomeController | Costructor | 
2018-06-25 12:36:17.8114 | INFO | Eshop.Controllers.HomeController | Costructor | 
2018-06-25 12:36:17.8261 | INFO | Eshop.Controllers.HomeController | Get goods from category: Monitors | 
2018-06-25 12:36:19.0634 | INFO | Eshop.Controllers.HomeController | Costructor | 
2018-06-25 12:36:34.0810 | INFO | Eshop.MvcApplication | Application Dispose | 
2018-06-25 12:36:44.3623 | INFO | Eshop.Controllers.HomeController | Costructor | 
2018-06-25 12:36:44.3779 | INFO | Eshop.Controllers.HomeController | Get goods from category:  | 
2018-06-25 12:36:45.1631 | INFO | Eshop.Controllers.HomeController | Costructor | 
2018-06-25 12:37:34.0930 | INFO | Eshop.MvcApplication | Application Dispose | 
2018-06-25 12:38:04.1214 | INFO | Eshop.MvcApplication | Application Dispose | 
2018-06-25 12:38:48.0044 | INFO | Eshop.Controllers.HomeController | Costructor | 
2018-06-25 12:38:48.0230 | INFO | Eshop.Controllers.HomeController | Get goods from category: Monitors | 
2018-06-25 12:38:49.4732 | INFO | Eshop.Controllers.HomeController | Costructor | 
2018-06-25 12:38:49.6040 | INFO | Eshop.MvcApplication | Application Init | 
2018-06-25 12:41:04.1729 | INFO | Eshop.MvcApplication | Application Dispose | 
2018-06-25 12:42:42.7006 | INFO | Eshop.Controllers.HomeController | Costructor | 
2018-06-25 12:42:42.7280 | INFO | Eshop.Controllers.HomeController | Get goods from category:  | 
2018-06-25 12:42:44.0024 | INFO | Eshop.Controllers.HomeController | Costructor | 
2018-06-25 12:42:44.2768 | INFO | Eshop.MvcApplication | Application Init | 
2018-06-25 12:42:44.2768 | INFO | Eshop.MvcApplication | Application Init | 
2018-06-25 12:42:55.1460 | INFO | Eshop.Controllers.HomeController | Costructor | 
2018-06-25 12:42:59.5142 | INFO | Eshop.Controllers.HomeController | Costructor | 
2018-06-25 12:42:59.5142 | INFO | Eshop.Controllers.HomeController | Costructor | 
2018-06-25 12:42:59.6265 | INFO | Eshop.Controllers.HomeController | Costructor | 
2018-06-25 12:42:59.6792 | INFO | Eshop.MvcApplication | Application Init | 
2018-06-25 12:42:59.7974 | INFO | Eshop.Controllers.HomeController | Costructor | 
2018-06-25 12:42:59.8726 | INFO | Eshop.MvcApplication | Application Init | 
2018-06-25 12:42:59.9546 | INFO | Eshop.MvcApplication | Application Init | 
2018-06-25 12:43:00.2466 | INFO | Eshop.Controllers.HomeController | Costructor | 
2018-06-25 12:43:00.2622 | INFO | Eshop.Controllers.HomeController | Costructor | 
2018-06-25 12:43:09.2125 | INFO | Eshop.Controllers.HomeController | Costructor | 
2018-06-25 12:43:11.7965 | INFO | Eshop.Controllers.HomeController | Costructor | 
2018-06-25 12:43:27.9430 | INFO | Eshop.Controllers.HomeController | Costructor | 
2018-06-25 12:43:27.9664 | INFO | Eshop.Controllers.HomeController | Get goods from category: CellPhones | 
2018-06-25 12:43:30.8444 | INFO | Eshop.Controllers.HomeController | Costructor | 
2018-06-25 12:43:34.2067 | INFO | Eshop.MvcApplication | Application Dispose | 
2018-06-25 12:43:58.4968 | INFO | Eshop.Controllers.HomeController | Costructor | 
2018-06-25 12:43:58.5105 | INFO | Eshop.Controllers.HomeController | Get goods from category: CellPhones | 
2018-06-25 12:44:01.5447 | INFO | Eshop.Controllers.HomeController | Costructor | 
2018-06-25 12:44:04.2078 | INFO | Eshop.MvcApplication | Application Dispose | 
2018-06-25 12:44:11.4480 | INFO | Eshop.Controllers.HomeController | Costructor | 
2018-06-25 12:44:14.5467 | INFO | Eshop.Controllers.HomeController | Costructor | 
2018-06-25 12:44:18.8494 | INFO | Eshop.Controllers.HomeController | Costructor | 
2018-06-25 12:44:18.9686 | INFO | Eshop.Controllers.HomeController | Costructor | 
2018-06-25 12:44:19.8280 | INFO | Eshop.Controllers.HomeController | Costructor | 
2018-06-25 12:44:22.4344 | INFO | Eshop.Controllers.HomeController | Costructor | 
2018-06-25 12:44:24.3924 | INFO | Eshop.Controllers.HomeController | Costructor | 
2018-06-25 12:44:53.0937 | INFO | Eshop.Controllers.HomeController | Costructor | 
2018-06-25 12:44:53.1162 | INFO | Eshop.Controllers.HomeController | Get goods from category: CellPhones | 
